,ent,pob_0,pob_ent,Extreme Poverty,year,pob_1,Moderate Poverty,pob_2,Social Deprivations vulnerability,pob_3,Income Vulnerability,pob_4,Non poor or vulnerable
68,5,49687,3005811,0.016530314114892787,2016,696210,0.23162134944612287,750217,0.24958887967340596,391701,0.13031458065726687,1117996,0.3719448761083115
69,6,19282,739454,0.02607599661371769,2016,229409,0.31024106976228405,231632,0.31324734195771475,51412,0.06952697530880893,207719,0.28090861635747455
70,7,1498625,5337151,0.28079119365369276,2016,2615325,0.4900226731452792,736444,0.13798447898513644,145549,0.027270916636984787,341208,0.0639307375789068
71,8,120869,3757012,0.032171576774308944,2016,1029092,0.2739123537534615,1026515,0.27322643632759225,417856,0.11122029953590779,1162680,0.30946933360872947
72,9,155128,8821845,0.01758453022015236,2016,2279296,0.2583695360777706,2548613,0.2888979572867127,599276,0.06793091467827875,3239532,0.3672170617370856
73,10,49565,1787492,0.02772879542957395,2016,593734,0.3321603677107366,534197,0.2988528060545166,167906,0.0939338469766578,442090,0.24732418382851504
74,11,257580,5877529,0.04382453918985342,2016,2232135,0.37977439158530735,1760651,0.2995563271572118,482064,0.08201814061657543,1145099,0.19482660145105196
75,12,825214,3593873,0.2296169063291886,2016,1489506,0.4144570495395914,856094,0.23820930789707928,115599,0.03216557735902187,307460,0.08555115887511885
76,13,234257,2921427,0.08018581330288246,2016,1244579,0.42601749076735446,932026,0.3190310762514347,136002,0.04655327687462326,374563,0.12821234280370516
77,14,144881,8048629,0.018000705461762495,2016,2415711,0.30013943989715514,2621485,0.3257057816927579,626487,0.07783772863676534,2240065,0.27831634431155916
78,15,1056958,17190721,0.06148421581619526,2016,7173242,0.4172740631413889,3665189,0.2132074041571613,1643982,0.0956319400448649,3651350,0.21240237684038965
79,16,435343,4636713,0.09389043488350476,2016,2130519,0.45948908202858363,1290054,0.27822597603086496,219307,0.0472979457645966,561490,0.12109656129245006
80,17,115383,1949458,0.059187220242754655,2016,850469,0.4362592064050623,475565,0.24394729201655024,154763,0.07938770673694945,353278,0.18121857459868332
81,18,99351,1252827,0.07930145183652651,2016,370779,0.29595387072596613,393721,0.3142660558880037,74866,0.05975765209402416,314110,0.2507209694554795
82,19,31491,5178910,0.006080623142707635,2016,706274,0.1363750287222601,1790539,0.34573665114860075,275925,0.053278585648331406,2374681,0.4585291113381001
83,20,1087156,4044455,0.26880160614965426,2016,1760185,0.4352094410742609,805582,0.19918184279464105,94155,0.023280021659284132,297377,0.0735270883221596
84,21,561866,6272194,0.08958045621675605,2016,3166336,0.5048211200099997,1347222,0.21479278223855958,389255,0.06206042096274446,807515,0.1287452205719402
85,22,59717,2042725,0.029233988911870172,2016,575963,0.28195816862279555,653727,0.32002692481856343,182471,0.08932724669253081,570847,0.27945367095424006
86,23,69185,1632900,0.042369404127625694,2016,401855,0.24609896503153897,627150,0.384071284218262,70405,0.04311654112315512,464305,0.28434380549941823
87,24,213810,2784951,0.07677334358845093,2016,1053918,0.37843322916633004,685965,0.24631133545976214,221653,0.07958955112675233,609605,0.2188925406587046
88,25,87084,3017801,0.028856773524828176,2016,842599,0.2792095966566384,991202,0.32845174350462475,223933,0.07420403134600327,872983,0.2892778549679054
89,26,75325,2983907,0.02524374921872565,2016,756102,0.2533932860508052,922740,0.30923886032641096,244409,0.0819090541360706,985331,0.3302150502679876
90,27,284233,2415042,0.11769277718565557,2016,943859,0.3908250870999345,855844,0.3543805863417696,62639,0.025937023041421224,268467,0.11116452633121908
91,28,103598,3594962,0.028817550783568784,2016,1052622,0.29280476400028704,1027021,0.2856834091709453,362872,0.10093903635142736,1048849,0.29175523969377143
92,29,74724,1300859,0.05744204406472954,2016,627033,0.4820145765221288,317712,0.24423246485591443,107319,0.08249856441013208,174071,0.1338123501470951
93,30,1332509,8123403,0.16403334907796646,2016,3717002,0.45756710580528875,1619664,0.19938245092604664,403972,0.049729405275104534,1050256,0.1292876889155936
94,31,132415,2153877,0.061477512411340106,2016,769449,0.3572390623977135,699422,0.3247269923027174,123685,0.057424356172613385,428906,0.1991320767156156
95,32,56113,1592270,0.035240882513644045,2016,724161,0.45479786719589016,388158,0.24377649519239827,141896,0.08911553944996765,281942,0.17706921564809988
96,1,15649,1342587,0.011655855449218561,2018,335880,0.2501737317581654,397763,0.2962660892739167,138033,0.10281121446878302,455262,0.3390931090499163
97,2,59299,3648116,0.016254691462661824,2018,789138,0.21631384528342848,1450775,0.3976778698922951,246424,0.0675482906793534,1102480,0.3022053026822612
98,3,12583,839675,0.014985559889242862,2018,139159,0.1657295977610385,363472,0.4328722422365796,39180,0.04666091047131331,285281,0.3397516896418257
99,4,93046,952279,0.09770875972272831,2018,347377,0.3647849002235689,303176,0.3183688813887527,43756,0.04594871881034865,164924,0.17318873985460143
100,5,44529,3073513,0.014487981667882973,2018,646600,0.2103781568517849,840680,0.27352413996622105,346003,0.11257573987811341,1195701,0.3890339816359976
101,6,18248,763300,0.023906720817502947,2018,217372,0.28477924800209614,268854,0.3522258613913271,41278,0.054078344032490504,217548,0.28500982575658323
102,7,1623286,5463342,0.2971232626476614,2018,2551310,0.46698705664042267,821973,0.15045241538970103,136849,0.025048587476310287,329924,0.06038867784590458
103,8,99838,3826880,0.026088615268835186,2018,905894,0.2367186846726315,1228355,0.3209807989798478,391916,0.10241136382640689,1200877,0.31380053725227863
104,9,153332,8781315,0.017461166123752536,2018,2529398,0.28804319170875886,2490788,0.2836463559273298,681700,0.07763074209272756,2926097,0.33321854414743124
105,10,40412,1820740,0.02219537111284423,2018,639630,0.35130221777958415,492855,0.2706893900282303,186898,0.10264947219262498,460945,0.2531635488867164
106,11,253260,5964968,0.04245789751093384,2018,2334573,0.3913806411031878,1755041,0.2942247133597364,445582,0.07469981398056116,1176512,0.1972369340455808
107,12,971439,3629032,0.26768543236874187,2018,1440760,0.3970094504540054,843294,0.23237436319106583,110384,0.03041692660742589,263155,0.07251382737876105
108,13,181473,2990303,0.06068716113383828,2018,1129630,0.37776439377548027,1162111,0.3886265037355746,113609,0.03799247099708625,403480,0.13492947035802058
109,14,244521,8222691,0.029737345110013254,2018,2093122,0.25455437885237325,3002679,0.3651698695718956,629724,0.07658368774893766,2252645,0.2739547187167802
110,15,865748,17666779,0.049004292180255385,2018,6680794,0.37815574644364996,4968372,0.28122681559553103,1541381,0.08724742637013799,3610484,0.20436571941042564
111,16,284353,4695278,0.060561483260416105,2018,1877565,0.3998836703598807,1634384,0.3480909969548129,228654,0.04869871389936869,670322,0.14276513552552159
112,17,146974,1994133,0.07370320836172914,2018,866356,0.4344524663099201,586829,0.29427776382016646,114423,0.05737982371286168,279551,0.1401867377953226
113,18,76246,1296947,0.058788832542887255,2018,374708,0.28891542985179813,466111,0.3593909388741406,63510,0.04896884760903877,316372,0.24393595112213529
114,19,25233,5321301,0.004741885490033358,2018,747795,0.14052860381324042,1832745,0.3444167131308678,350084,0.06578917448947165,2365444,0.44452362307638676
115,20,951848,4091380,0.23264717528071213,2018,1762849,0.4308690466297435,920902,0.225083468169664,107803,0.026348811403487334,347978,0.085051498516393
116,21,551923,6388085,0.08639881905140585,2018,3211727,0.5027683570271843,1483929,0.23229637677019013,391204,0.061239635978544434,749302,0.11729681117267537
117,22,41195,2100009,0.0196165825955984,2018,538004,0.2561912829897396,798401,0.3801893229981395,133217,0.06343639479640326,589192,0.2805664166201193
118,23,59783,1722567,0.034705761807813575,2018,415050,0.24094853785077736,709993,0.41217148592768815,70454,0.04090058616007389,467287,0.27127362825364704
119,24,207577,2831855,0.07330071631492431,2018,1021423,0.3606904308306746,784799,0.27713248030001536,208858,0.07375306998416233,609198,0.2151233025702234
120,25,82305,3066439,0.026840579577809963,2018,864563,0.2819436486426112,1059090,0.34538107557332787,198537,0.06474513270930875,861944,0.2810895634969422
121,26,80625,3061963,0.026331147698388256,2018,782404,0.2555236624348498,921278,0.3008782274638851,267133,0.08724239972854016,1010523,0.3300245626743367
122,27,302497,2460882,0.12292218806102853,2018,1017675,0.4135407549000724,821754,0.3339266165545524,62145,0.02525314094702631,256811,0.10435729953732036
123,28,121812,3672328,0.0331702396953649,2018,1166083,0.3175323663899303,943410,0.2568969874150675,485355,0.13216548195041403,955668,0.26023492454922326
124,29,41747,1334803,0.03127577627560022,2018,604014,0.4525117189577788,381951,0.28614784353945866,101925,0.07635958265002402,205166,0.15370507857713836
125,30,1457852,8236730,0.17699402554168947,2018,3630711,0.4407951942093525,1741996,0.21149121071104673,506290,0.06146735415632174,899881,0.10925221538158954
126,31,147106,2207156,0.06664957075983755,2018,753370,0.3413306535650403,734715,0.3328786003345482,120864,0.05476006227017936,451101,0.20438111307039467
127,32,54414,1615040,0.03369204477907668,2018,700800,0.4339211412720428,463900,0.287237467802655,124832,0.07729344164850406,271094,0.16785590449772142
